"Variable","Celda"
"tipo_componente","C157"
"presencia_ampollas","G157"
"diametro_blister","J157"
"longitud_microfisura","M157"
"perdida_resina","O157"
"aranazos_hendiduras","Q157"
"ancho_aranazo","T157"
"longitud_aranazo","V157"
"decoloracion_superficie","X157"
"color_decoloracion","Z157"
"grietas_fracturas","AB157"
"inclusiones","AD157"
"quemaduras","AF157"
"bordes_expuestos","AH157"
"delaminaciones","AK157"
"arrugas","AN157"
"observaciones_externas","AQ157"
