"Variable","Celda"
"segmento_linea_instrumento","C107"
"cml_tml_instrumento","F107"
"nps_instrumento","H107"
"tipo_de_instrumento","J107"
"tag_instrumento","O107"
"observaciones_instrumento","S107"
