"Variable","Celda"
"cliente","I8"
"consecutivo","V8"
"fecha","AI8"
"ubicacion","AV8"
"ot","I10"
"servicio","V10"
"codigo_fabricacion","AI10"
"ano_fabricacion","AV10"
"sistema","I12"
"subsistema","V12"
"presion_operacion","AI12"
"temperatura_operacion","AV12"
