"Variable","Celda"
"CLIENTE","B6"
"CONTRATO","F6"
"OT","M6"
"REPORTE: Nº","U6"
"FECHA_REPORTE","Z6"
"NOMBRE","B10"
"Nº de Certificado","B11"
"FIRMA","B12"
"FECHA_FIRMA","B13"
