"Variable","Celda"
"DR_(m)","C37"
"Tag","F37"
"Marca","H37"
"Modelo","J37"
"Serial","M37"
"Registrar_tamano_de_la_brida_de_entrada","O37"
"Registrar_tamano_de_la_brida_de_salida","S37"
"Registrar_la_presion_de_ajuste","W37"
"Registrar_la_fecha_de_la_ultima_calibracion","AA37"
"Hay_fugas_en_uniones","AE37"
"pernos_bridas_seguros","AI37"
"Los_pernos_de_las_bridas_estan_completos","AM37"
"Las_valvulas_de_bloqueo_estan_abiertas_y_selladas","AP37"
"Observaciones","AV37"
"cordenadas","AS37"
