"Variable","Celda"
"DR_Inicial_(m)","C57"
"DR_Final_(m)","H57"
"NPS","M57"
"Tipo_Dano","R57"
"Tipo_Calidad","W57"
"Observaciones","AC57"
"cordenadas","Z57"
