"Variable","Celda"
"DR_(m)","C47"
"Tipo_Soporte","F47"
"Anclaje_Soporte","H47"
"Accesorio_Soporte","J47"
"Aislamiento_Dielectrico","M47"
"Contacto_Soporte_Tubo","Q47"
"Estado_Recubrimiento","U47"
"Estado_Concreto","Y47"
"Ausencia_Partes_Flojas","AC47"
"Desajuste_Pernos","AG47"
"Corrosion_Soporte","AK47"
"Deformacion_Soporte","AO47"
"Observaciones","AV47"
"cordenadas","AS47"
