"Variable","Celda"
"cliente","I8"
"troncal","V8"
"estacion","AI8"
"sistema","AV8"
"nombre_pp","V14"
"fecha","I10"
"componente","V10"
"segmento","AI10"
"descripcion","AI14"
"inicio","I12"
"fin","V12"
"diametro","AV12"
"longitud","AV10"
"ref_linea asociada","AI12"
"orientacion","I14"
