"Variable","Celda"
"recub_estado","C19"
"recub_deterioro","F19"
"valv_tipo","I19"
"valv_rating_class","K19"
"valv_humed","N19"
"valv_corr","Q19"
"valv_volante","T19"
"brid_cumple_llen_tuer","W19"
"brid_fugas","AC19"
"rosca_fugas","AF19"
"dano_mecanico","AL19"
"prof_dano_mec","AI19"
"prof_corr_ext","AU19"
"corrosion_ext","AP19"
