"Variable","Celda"
"componente","H49"
"nps","G49"
"CML","E49"
"med1","K49"
"med2","L49"
"med3","M49"
"med4","N49"
"med5","O49"
"med6","P49"
"med7","Q49"
"med8","R49"
"med9","S49"
"med10","T49"
"med11","U49"
"med12","V49"
"med13","W49"
"med14","X49"
"med15","Y49"
"med16","Z49"
"med17","AA49"
"med18","AB49"
"med19","AC49"
"med20","AD49"
"utc_min_1","AG49"
"utc_prom_1","AK49"
"utc_min_2","AO49"
"utc_prom_2","AS49"
"utc_min_3","AW49"
"utc_prom_3","AZ49"
"t_nominal","AE49"
