"Variable","Celda"
"cliente","I8"
"consecutivo","V8"
"fechaInsp","AI8"
"ubicación","AV8"
"tag","I10"
"servicio","V10"
"fabricante","AI10"
"yearFabrication","AV10"
"nbNo","I12"
"NoSerie","V12"
"mawp","AI12"
"designTemp","AV12"
"rt","I14"
"mdmt","V14"
"po","AI14"
"operTemp","AV14"
"ca","I16"
"code","V16"
"alturaLargo","AI16"
"diametro","AV16"
"matCuerpo","I18"
"matCabezas","V18"
"matTapa","AI18"
"matChaqueta","AV18"
"thkCuerpo","I20"
"thkCabezas","V20"
"thkTapa","AI20"
"capacidad","AV20"
