"Variable","Celda"
"pvNozzle1","C64"
"pvNozzle2","E64"
"pvNozzle3","H64"
"pvNozzle4","J64"
"pvNozzle5","O64"
"pvNozzle6","R64"
"pvNozzle7","V64"
"pvNozzle8","Z64"
"pvNozzle9","AD64"
"pvNozzle10","AH64"
"pvNozzle11","AL64"
"pvNozzle12","AP64"
"pvNozzle13","AT64"
