"Variable","Celda"
"prd1","C73"
"prd2","G73"
"prd3","K73"
"prd4","N73"
"prd5","R73"
"prd6","U73"
"prd7","X73"
"prd8","AA73"
"prd9","AD73"
"prd10","AH73"
"prd11","AL73"
"prd13","AP73"
"prd14","AU73"
