"Variable","Celda"
"pvInternal1","C55"
"pvInternal2","G55"
"pvInternal3","L55"
"pvInternal4","Q55"
"pvInternal5","V55"
"pvInternal6","AA55"
"pvInternal7","AF55"
"pvInternal8","AK55"
